	gene_symbol
AC005614.1	AC005614.1
AC005616.1	AC005616.1
AC005618.1	AC005618.1
AC005618.2	AC005618.2
AC005618.3	AC005618.3
AC005618.4	AC005618.4
AC005632.3	AC005632.3
AC005632.4	AC005632.4
AC005632.5	AC005632.5
AC005632.6	AC005632.6
AC005670.1	AC005670.1
AC005670.2	AC005670.2
AC005670.3	AC005670.3
AC005674.1	AC005674.1
AC005674.2	AC005674.2
AC005682.2	AC005682.2
AC005692.1	AC005692.1
AC005692.2	AC005692.2
AC005692.3	AC005692.3
AC005695.1	AC005695.1
AC005695.2	AC005695.2
AC005695.3	AC005695.3
AC005696.1	AC005696.1
AC005696.2	AC005696.2
AC005696.3	AC005696.3
AC005696.4	AC005696.4
AC005697.1	AC005697.1
AC005697.2	AC005697.2
AC005699.1	AC005699.1
AC005702.1	AC005702.1
AC005703.1	AC005703.1
AC005703.2	AC005703.2
AC005703.3	AC005703.3
AC005703.4	AC005703.4
AC005703.7	AC005703.7
AC005722.2	AC005722.2
AC005722.3	AC005722.3
AC005725.1	AC005725.1
AC005726.1	AC005726.1
AC005726.2	AC005726.2
AC005726.3	AC005726.3
AC005726.4	AC005726.4
AC005726.5	AC005726.5
AC005730.2	AC005730.2
AC005730.3	AC005730.3
AC005736.1	AC005736.1
AC005736.2	AC005736.2
AC005736.3	AC005736.3
AC005740.3	AC005740.3
AC005740.4	AC005740.4
AC005740.5	AC005740.5
AC005746.1	AC005746.1
AC005746.2	AC005746.2
AC005746.3	AC005746.3
AC005753.1	AC005753.1
AC005753.2	AC005753.2
AC005753.3	AC005753.3
AC005757.1	AC005757.1
AC005759.1	AC005759.1
AC005772.1	AC005772.1
AC005772.2	AC005772.2
AC005774.1	AC005774.1
AC005774.2	AC005774.2
AC005775.1	AC005775.1
AC005776.2	AC005776.2
AC005785.1	AC005785.1
AC005786.2	AC005786.2
AC005786.3	AC005786.3
AC005789.1	AC005789.1
AC005790.1	AC005790.1
AC005803.1	AC005803.1
AC005808.1	AC005808.1
AC005821.1	AC005821.1
AC005821.2	AC005821.2
AC005823.1	AC005823.1
AC005823.2	AC005823.2
AC005828.1	AC005828.1
AC005828.3	AC005828.3
AC005828.4	AC005828.4
AC005828.5	AC005828.5
AC005832.1	AC005832.1
AC005832.4	AC005832.4
AC005833.1	AC005833.1
AC005833.2	AC005833.2
AC005833.3	AC005833.3
AC005837.1	AC005837.1
AC005837.2	AC005837.2
AC005837.3	AC005837.3
AC005837.4	AC005837.4
AC005838.2	AC005838.2
AC005840.2	AC005840.2
AC005840.4	AC005840.4
AC005841.1	AC005841.1
AC005842.1	AC005842.1
AC005845.1	AC005845.1
AC005856.1	AC005856.1
AC005863.1	AC005863.1
AC005865.1	AC005865.1
AC005865.2	AC005865.2
AC005871.1	AC005871.1
AC005871.2	AC005871.2
AC005884.1	AC005884.1
AC005884.2	AC005884.2
AC005888.1	AC005888.1
AC005899.1	AC005899.1
AC005899.3	AC005899.3
AC005899.5	AC005899.5
AC005899.6	AC005899.6
AC005899.7	AC005899.7
AC005899.8	AC005899.8
AC005906.2	AC005906.2
AC005906.3	AC005906.3
AC005908.3	AC005908.3
AC005909.1	AC005909.1
AC005909.2	AC005909.2
AC005911.1	AC005911.1
AC005912.2	AC005912.2
AC005914.1	AC005914.1
AC005920.1	AC005920.1
AC005920.2	AC005920.2
AC005920.3	AC005920.3
AC005920.4	AC005920.4
AC005921.2	AC005921.2
AC005921.4	AC005921.4
AC005943.1	AC005943.1
AC005944.1	AC005944.1
AC005954.1	AC005954.1
AC005954.2	AC005954.2
AC005962.1	AC005962.1
AC005962.2	AC005962.2
AC005972.3	AC005972.3
AC005972.4	AC005972.4
AC005993.1	AC005993.1
AC005996.1	AC005996.1
AC005998.1	AC005998.1
AC005999.1	AC005999.1
AC005999.2	AC005999.2
AC006001.2	AC006001.2
AC006003.1	AC006003.1
AC006004.1	AC006004.1
AC006007.1	AC006007.1
AC006008.1	AC006008.1
AC006012.1	AC006012.1
AC006013.1	AC006013.1
AC006017.1	AC006017.1
AC006019.1	AC006019.1
AC006019.2	AC006019.2
AC006019.3	AC006019.3
AC006026.3	AC006026.3
AC006027.1	AC006027.1
AC006030.1	AC006030.1
AC006033.2	AC006033.2
AC006040.1	AC006040.1
AC006041.1	AC006041.1
AC006041.2	AC006041.2
AC006042.1	AC006042.1
AC006042.2	AC006042.2
AC006042.4	AC006042.4
AC006043.1	AC006043.1
AC006058.1	AC006058.1
AC006058.2	AC006058.2
AC006058.3	AC006058.3
AC006059.1	AC006059.1
AC006059.4	AC006059.4
AC006059.5	AC006059.5
AC006062.1	AC006062.1
AC006063.1	AC006063.1
AC006063.2	AC006063.2
AC006063.3	AC006063.3
AC006063.4	AC006063.4
AC006064.1	AC006064.1
AC006064.2	AC006064.2
AC006064.3	AC006064.3
AC006064.4	AC006064.4
AC006064.5	AC006064.5
AC006064.6	AC006064.6
AC006065.4	AC006065.4
AC006076.1	AC006076.1
AC006111.1	AC006111.1
AC006111.2	AC006111.2
AC006111.3	AC006111.3
AC006112.1	AC006112.1
AC006115.1	AC006115.1
AC006115.2	AC006115.2
AC006115.3	AC006115.3
AC006116.10	AC006116.10
AC006116.11	AC006116.11
AC006116.4	AC006116.4
AC006116.5	AC006116.5
AC006116.6	AC006116.6
AC006116.8	AC006116.8
AC006116.9	AC006116.9
AC006130.1	AC006130.1
AC006130.3	AC006130.3
AC006141.1	AC006141.1
AC006144.2	AC006144.2
AC006145.1	AC006145.1
AC006146.1	AC006146.1
AC006148.1	AC006148.1
AC006148.2	AC006148.2
AC006150.1	AC006150.1
AC006157.1	AC006157.1
AC006159.1	AC006159.1
AC006159.2	AC006159.2
AC006160.1	AC006160.1
AC006197.2	AC006197.2
AC006205.1	AC006205.1
AC006205.2	AC006205.2
AC006206.2	AC006206.2
AC006207.1	AC006207.1
AC006213.1	AC006213.1
AC006213.2	AC006213.2
AC006213.3	AC006213.3
AC006213.4	AC006213.4
AC006213.5	AC006213.5
AC006213.7	AC006213.7
AC006230.1	AC006230.1
AC006237.1	AC006237.1
AC006238.1	AC006238.1
AC006238.2	AC006238.2
AC006249.1	AC006249.1
AC006252.1	AC006252.1
AC006254.1	AC006254.1
AC006262.1	AC006262.1
AC006262.2	AC006262.2
AC006270.1	AC006270.1
AC006273.1	AC006273.1
AC006288.1	AC006288.1
AC006296.1	AC006296.1
AC006296.2	AC006296.2
AC006296.3	AC006296.3
AC006299.1	AC006299.1
AC006305.1	AC006305.1
AC006305.3	AC006305.3
AC006329.1	AC006329.1
AC006333.1	AC006333.1
AC006333.2	AC006333.2
AC006348.1	AC006348.1
AC006355.2	AC006355.2
AC006364.1	AC006364.1
AC006369.1	AC006369.1
AC006369.2	AC006369.2
AC006372.1	AC006372.1
AC006372.2	AC006372.2
AC006372.3	AC006372.3
AC006378.1	AC006378.1
AC006387.1	AC006387.1
AC006398.1	AC006398.1
AC006427.2	AC006427.2
AC006435.1	AC006435.1
AC006435.2	AC006435.2
AC006435.3	AC006435.3
AC006441.1	AC006441.1
AC006441.3	AC006441.3
AC006441.4	AC006441.4
AC006445.3	AC006445.3
AC006449.1	AC006449.1
AC006449.2	AC006449.2
AC006449.3	AC006449.3
AC006449.5	AC006449.5
AC006449.6	AC006449.6
AC006450.2	AC006450.2
AC006450.3	AC006450.3
AC006452.1	AC006452.1
AC006455.1	AC006455.1
AC006458.1	AC006458.1
AC006459.1	AC006459.1
AC006460.1	AC006460.1
AC006460.2	AC006460.2
AC006478.1	AC006478.1
AC006478.2	AC006478.2
AC006480.2	AC006480.2
AC006483.2	AC006483.2
AC006486.1	AC006486.1
AC006487.1	AC006487.1
AC006487.2	AC006487.2
AC006504.1	AC006504.1
AC006504.2	AC006504.2
AC006504.5	AC006504.5
AC006504.7	AC006504.7
AC006511.4	AC006511.4
AC006511.6	AC006511.6
AC006517.2	AC006517.2
AC006525.1	AC006525.1
AC006538.1	AC006538.1
AC006538.2	AC006538.2
AC006538.3	AC006538.3
AC006538.4	AC006538.4
AC006547.1	AC006547.1
AC006547.2	AC006547.2
AC006547.3	AC006547.3
AC006557.1	AC006557.1
AC006557.3	AC006557.3
AC006566.1	AC006566.1
AC006566.2	AC006566.2
AC006581.1	AC006581.1
AC006581.2	AC006581.2
AC006942.1	AC006942.1
AC006946.2	AC006946.2
AC006946.3	AC006946.3
AC006947.1	AC006947.1
AC006960.2	AC006960.2
AC006960.3	AC006960.3
AC006972.1	AC006972.1
AC006974.1	AC006974.1
AC006974.2	AC006974.2
AC006978.2	AC006978.2
AC006994.2	AC006994.2
AC007001.1	AC007001.1
AC007003.1	AC007003.1
AC007009.1	AC007009.1
AC007014.1	AC007014.1
AC007014.2	AC007014.2
AC007029.1	AC007029.1
AC007032.1	AC007032.1
AC007036.1	AC007036.1
AC007036.2	AC007036.2
AC007036.3	AC007036.3
AC007036.5	AC007036.5
AC007038.1	AC007038.1
AC007038.2	AC007038.2
AC007040.1	AC007040.1
AC007040.2	AC007040.2
AC007064.2	AC007064.2
AC007066.2	AC007066.2
AC007066.3	AC007066.3
