	1	2	3	4	5	6	7	8	9	10	11	12
ABCC11	0.0001743400259019	-0.0001115777838537	-0.0002191007990281	-4.487436052711559e-05	6.035994379479272e-05	2.58372228335009e-05	-3.925258943937492e-05	9.463885079289036e-05	-5.471007411066172e-05	4.17652623140996e-05	-0.0001419526117701	-6.354889007713169e-05
ABCC12	-2.0159303844019983e-05	-8.409469852316227e-05	-5.6346419657923184e-05	-1.409528342907572e-05	-0.0001082893888595	0.0003029045636657	-4.239005098013727e-05	0.0001976885319993	-2.4261812054566613e-05	-2.2104427201278696e-05	-7.7296327561287e-05	-2.8017957133636125e-05
ABCC2	0.0002451417710121	-0.0001166003791285	-0.0002913863654379	-0.0002942452161093	0.0002424940217105	8.143936926219704e-05	-3.520345957866673e-05	-5.30524079565281e-06	4.621017743724106e-05	-0.0001013353004455	0.0001682205366176	-0.000151676056755
ABCC3	-9.45146846779124e-05	0.0009589138652066	-0.0004965059069168	-0.0004709026346285	0.0001772299072602	-0.0004487426785865	0.0003088893428987	-0.0001081051411335	-0.0001471461802938	-9.073235078965456e-05	-5.451256732197981e-05	-0.0001906498210598
ABCC4	-5.578693209027316e-05	-0.0004301979091873	-0.0005511959083019	-0.0009837238857317	0.0007285030368757	0.0004276932746814	0.0004392077633552	0.0004038454606568	-0.0003467364113511	-0.0002066737229968	0.0001150732426324	0.00571964664472
ABCC5	-7.214516730412365e-05	0.0004516549642089	-0.0005879040983198	-0.0004718095615563	0.0004192332826484	-6.920494755794667e-05	0.0002032976974817	3.3008076752052826e-05	-0.0001353873212743	-2.935564123331797e-05	0.0001202282024674	0.0001455789188981
ABCC6	1.871352366173145e-05	0.0003150590560291	-0.0003744465354064	-0.000487744548927	0.0004112418780631	6.631280395595966e-05	-0.000239431418791	2.6838620053116425e-05	0.0001075061407922	-0.0001378252832676	-0.0003749127419895	0.000960668317267
ABCC8	8.222827873096416e-05	-5.529568011015082e-05	-0.0002651685965722	-0.0001307463513485	0.0002896688212724	0.0001130197041557	-9.355090013157785e-05	3.289197759301769e-05	-1.502140372483954e-05	-5.94521785717865e-05	-0.0001129224356175	-2.946846086941712e-05
ABCC9	0.0002662238123327	3.5765590673004697e-05	-9.070610578776522e-05	-0.0003301404519191	-5.827327290881113e-05	6.255123146193289e-06	6.6031528629007645e-06	0.000177029007387	-0.0001555279995865	-4.90548980481655e-05	-0.0001597466293977	-8.623010203984564e-05
ABCD1	5.4970674976977445e-05	4.9281732560028485e-05	-6.214461222299406e-05	-0.0002974795850826	-7.738754456887088e-05	5.314917630088931e-05	5.2529876816118665e-05	-9.76767626893945e-05	-6.843965361621603e-05	-0.0001051455745045	0.0003488752096861	0.002440218020298
ABCD2	0.0002677638729058	-0.0002992088123034	-0.0004769698343187	0.0007953150714367	0.0001404493067672	-0.0001531110596039	-0.0001156888730882	-0.0001983849967167	-0.0001908467843441	-5.664459303652269e-05	-6.747430535795524e-05	0.0006344510422026
ABCD3	0.0002167430678026	0.0004731961692954	-0.0011191106062338	-0.0007081538323413	0.0004514092117381	0.0001522584709456	1.7488326249551713e-05	0.0004880896664238	-8.138675386677334e-05	-7.22014562486654e-05	-0.0003282625268582	-0.0004488887407373
